,poi_id,name,build_year,demolished_year,address,latitude,longitude,external_url,image_url,heritage_status,current_use,poi_type,source,details,style,category,cleaned_year,build_decade,poi_type_simple,sim_rating
3087,3262,21 Mackenzie Crescent,1890,,21 Mackenzie Crescent Trinity-Bellwoods Toronto,43.64804,-79.42528,http://www.acotoronto.ca/show_building.php?BuildingID=6418,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/21MackenzieCr.jpg,Heritage property,Residential,Detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1890.0,1890.0,Building,0.0
3088,3263,23 Mackenzie Crescent,1890,,23 Mackenzie Crescent Trinity-Bellwoods Toronto,43.64808,-79.42529,http://www.acotoronto.ca/show_building.php?BuildingID=6420,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/23MackenzieCr.jpg,Heritage property,Residential,Detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1890.0,1890.0,Building,0.0
3089,3264,25 Mackenzie Crescent,1890,,25 Mackenzie Crescent Trinity-Bellwoods Toronto,43.64814,-79.42532,http://www.acotoronto.ca/show_building.php?BuildingID=6421,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/25MackenzieCr.jpg,Heritage property,Residential,Detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1890.0,1890.0,Building,0.0
3090,3265,27 Mackenzie Crescent,1890,,27 Mackenzie Crescent Trinity-Bellwoods Toronto,43.6482,-79.42534,http://www.acotoronto.ca/show_building.php?BuildingID=6419,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/27MackenzieCr.jpg,Heritage property,Residential,Detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1890.0,1890.0,Building,0.0
3091,3266,29 Mackenzie Crescent,1890,,29 Mackenzie Crescent Trinity-Bellwoods Toronto,43.64825,-79.42536,http://www.acotoronto.ca/show_building.php?BuildingID=6423,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/29MackenzieCr.jpg,Heritage property,Residential,Detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1890.0,1890.0,Building,0.0
3092,3267,35-39 MacPherson Avenue,1893,,35-39 MacPherson Avenue Summerhill Toronto,43.67868,-79.39153,http://www.acotoronto.ca/show_building.php?BuildingID=7018,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/35-39MacPherson1.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,"No. 35 is the Richard Barker House, No. 37 is the Samuel Roether House, No. 39 is the Harry Driscoll House.",Toronto Bay and Gable,,1893.0,1890.0,Building,0.0
3093,3268,41-43 MacPherson Avenue,1893,,41-43 MacPherson Avenue Summerhill Toronto,43.67865,-79.39166,http://www.acotoronto.ca/show_building.php?BuildingID=7017,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/41-43MacPherson1.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1893.0,1890.0,Building,0.0
3094,3269,108-110 MacPherson Avenue,1888,,108-110 MacPherson Avenue Summerhill Toronto,43.67845,-79.39435,http://www.acotoronto.ca/show_building.php?BuildingID=5623,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/108-110MacPherson.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1888.0,1880.0,Building,0.0
3095,3270,142-144 MacPherson Avenue,1889,,142-144 MacPherson Avenue Summerhill Toronto,43.6782,-79.39548,http://www.acotoronto.ca/show_building.php?BuildingID=3294,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/142-144MacPherson.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1889.0,1880.0,Building,0.0
3096,3271,146-148 MacPherson Avenue,1889,,146-148 MacPherson Avenue Summerhill Toronto,43.67827,-79.39561,http://www.acotoronto.ca/show_building.php?BuildingID=3295,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/146-148MacPherson.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1889.0,1880.0,Building,0.0
3097,3272,150-152 MacPherson Avenue,1889,,150-152 MacPherson Avenue Summerhill Toronto,43.67824,-79.39573,http://www.acotoronto.ca/show_building.php?BuildingID=5622,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/150-152MacPherson.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1889.0,1880.0,Building,0.0
3098,3273,154-156 MacPherson Avenue,1889,,154-156 MacPherson Avenue Summerhill Toronto,43.67811,-79.39585,http://www.acotoronto.ca/show_building.php?BuildingID=5621,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/154-156MacPherson.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1889.0,1880.0,Building,0.0
3099,3274,158-160 MacPherson Avenue,1889,,158-160 MacPherson Avenue Summerhill Toronto,43.67809,-79.39595,http://www.acotoronto.ca/show_building.php?BuildingID=3296,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/158-160MacPherson.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1889.0,1880.0,Building,0.0
3100,3275,162-164 MacPherson Avenue,1889,,162-164 MacPherson Avenue Summerhill Toronto,43.67807,-79.39609,http://www.acotoronto.ca/show_building.php?BuildingID=3297,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/162-164MacPherson.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1889.0,1880.0,Building,0.0
3102,3277,170-172 MacPherson Avenue,1889,,170-172 MacPherson Avenue Summerhill Toronto,43.67802,-79.3963,http://www.acotoronto.ca/show_building.php?BuildingID=3299,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/170-172MacPherson.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1889.0,1880.0,Building,0.0
3117,3292,29 Major Street,unknown,,29 Major Street Harbord Village Toronto,43.65856,-79.40295,http://www.acotoronto.ca/show_building.php?BuildingID=10432,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/0fe64460.jpg,,Residential,Rowhouse,http://www.acotoronto.ca/,,Toronto Bay and Gable,,,,Building,0.0
3103,3278,174-176 MacPherson Avenue,1889,,174-176 MacPherson Avenue Summerhill Toronto,43.67803,-79.39645,http://www.acotoronto.ca/show_building.php?BuildingID=3300,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/174-176MacPherson.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1889.0,1880.0,Building,0.0
3104,3279,178-180 MacPherson Avenue,1889,,178-180 MacPherson Avenue Summerhill Toronto,43.67797,-79.39657,http://www.acotoronto.ca/show_building.php?BuildingID=3301,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/178-180MacPherson.jpg,Heritage property,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1889.0,1880.0,Building,0.0
3105,3280,158 Madison Avenue,1890,,158 Madison Avenue The Annex Toronto,43.67397,-79.40578,http://www.acotoronto.ca/show_building.php?BuildingID=10504,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/c391e715.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",Residential,Detached house,http://www.acotoronto.ca/,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey detached building, with appearance of a side or centre hall rotated plan was constructed during the period of significance between 1885 and 1925 in a modified BayÂ´nÂ´Gable  Victorian style. It retains sufficient integrity to permit restoration. Features representative of the BayÂ´nÂ´Gable Victorian style include red brick, 2.5 storey high bay with a front facing gable with cedar shingling.",Toronto Bay and Gable,,1890.0,1890.0,Building,0.0
3106,3281,1 Major Street,unknown,,1 Major Street Harbord Village Toronto,43.65781,-79.40265,http://www.acotoronto.ca/show_building.php?BuildingID=10450,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/433d3b5f.jpg,,,,http://www.acotoronto.ca/,,Toronto Bay and Gable,,,,Building,0.0
3107,3282,1 1/2 Major Street,unknown,,1 1/2 Major Street Harbord Village Toronto,43.65781,-79.40265,http://www.acotoronto.ca/show_building.php?BuildingID=10417,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/d71bafd0.jpg,,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,,,Building,0.0
3108,3283,3 Major Street,1884,,3 Major Street Harbord Village Toronto,43.6579,-79.40268,http://www.acotoronto.ca/show_building.php?BuildingID=10421,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/83d75684.jpg,No heritage status,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1884.0,1880.0,Building,0.0
3109,3284,5 Major Street,1884,,5 Major Street Harbord Village Toronto,43.65796,-79.40271,http://www.acotoronto.ca/show_building.php?BuildingID=10422,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/7909c24f.jpg,No heritage status,Residential,Semi-detached house,http://www.acotoronto.ca/,Brick and Rough Construction,Toronto Bay and Gable,,1884.0,1880.0,Building,0.0
3110,3285,7 Major Street,1884,,7 Major Street Harbord Village Toronto,43.65801,-79.40272,http://www.acotoronto.ca/show_building.php?BuildingID=10416,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/06308990.jpg,,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1884.0,1880.0,Building,0.0
3111,3286,9 Major Street,1884,,9 Major Street Harbord Village Toronto,43.65806,-79.40274,http://www.acotoronto.ca/show_building.php?BuildingID=10423,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/498b701f.jpg,No heritage status,Residential,Detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1884.0,1880.0,Building,0.0
3112,3287,11 Major Street,1884,,11  Major Street Harbord Village Toronto,43.65811,-79.40276,http://www.acotoronto.ca/show_building.php?BuildingID=10424,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/2e079486.jpg,No heritage status,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,1884.0,1880.0,Building,0.0
3113,3288,13 Major Street,unknown,,13 Major Street Harbord Village Toronto,43.65817,-79.40278,http://www.acotoronto.ca/show_building.php?BuildingID=10425,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/ab208f46.jpg,,Residential,Semi-detached house,http://www.acotoronto.ca/,,Toronto Bay and Gable,,,,Building,0.0
3114,3289,15 Major Street,1885,,15  Major Street Harbord Village Toronto,43.65822,-79.40281,http://www.acotoronto.ca/show_building.php?BuildingID=10426,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/f64c39f2.jpg,,Residential,Semi-detached house,http://www.acotoronto.ca/,"Originally a Toronto Bay and Gable style home, the front and roof were likely altered in the 1960Â´s. Brick replaced with angel stone.",Toronto Bay and Gable,,1885.0,1880.0,Building,0.0
3115,3290,25 Major Street,unknown,,25 Major Street Harbord Village Toronto,43.65848,-79.40286,http://www.acotoronto.ca/show_building.php?BuildingID=10430,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/f44f17c0.jpg,,Residential,Rowhouse,http://www.acotoronto.ca/,Fire 2009. Slope of roof was steepened in 2009.,Toronto Bay and Gable,,,,Building,0.0
3116,3291,27 Major Street,unknown,,27 Major Street Harbord Village Toronto,43.65852,-79.40293,http://www.acotoronto.ca/show_building.php?BuildingID=10431,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/6b134b5c.jpg,,Residential,Rowhouse,http://www.acotoronto.ca/,Fire in 2009,Toronto Bay and Gable,,,,Building,0.0
2745,2873,University of Toronto St. George Campus; Stephenson House,1885,,63-65 Charles Street West Bloor-Yorkville Toronto,43.66784,-79.38985,http://www.acotoronto.ca/show_building.php?BuildingID=3071,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/CharlesBirdJohnBriggs.jpg,Heritage property,Educational,Semi-detached house,http://www.acotoronto.ca/,This is now a residence for Victoria University.,Second empire,,1885.0,1880.0,Building,0.0
2740,2865,Arthur Rutten House / Jacob Tripp House,1889,,309-311 Carlton Street Cabbagetown Toronto,43.6649,-79.36525,http://www.acotoronto.ca/show_building.php?BuildingID=6599,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/309-311CarltonSt.jpg,Cabbagetown-Metcalfe Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,No. 309 is the Arthur Rutten House; No. 311 is the Jacob Tripp House.,Second empire,,1889.0,1880.0,Building,0.0
2743,2868,20-22 Cecil Street,1881,,20-22 Cecil Street Chinatown Toronto,43.65707,-79.39594,http://www.acotoronto.ca/show_building.php?BuildingID=3031,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/20-22Cecil.jpg,Heritage property,Commercial,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,1881.0,1880.0,Building,0.0
2375,2500,Blessed Margherita of Citta di Castello Catholic School,1983,,108 Spenvalley Drive  North York,43.74367,-79.50787,http://www.acotoronto.ca/show_building.php?BuildingID=11805,http://www.acotoronto.ca/tobuilt_bk/php/buildingimagesmedum/1cca52b2.jpg,No heritage status,Educational,School,http://www.acotoronto.ca/,"Blessed Margherita of Citta di Castello Catholic School was opened as the fifth school in Saint Jane Frances Parish in September 1983 with just over 300 students. The former Spenvalley Public School building was leased from the Board of Education for the City of North York. The official opening and blessing of the school was held in June of 1984. Mass was con-celebrated by the then Bishop Ambrozic, Rev. Claudio Moser, pastor, and his associate Rev. Frank Jannetta.  In the summer of 2004, Blessed Margherita of Città di Castello was purchased by the Toronto Catholic District School Board.",Postmodern,,1983.0,1980.0,Building,0.0
2381,2506,127 St. Patrick Street,1991,,127 St. Patrick Street Grange Park Toronto,43.65388,-79.38942,http://www.acotoronto.ca/show_building.php?BuildingID=1610,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/127StPatrick.jpg,No heritage status,Residential,High-rise,http://www.acotoronto.ca/,,Postmodern,,1991.0,1990.0,Building,0.0
2380,2505,30 St. Patrick Street,1986,,30 St. Patrick Street Grange Park Toronto,43.65129,-79.38926,http://www.acotoronto.ca/show_building.php?BuildingID=1613,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/30StPatrick.jpg,No heritage status,Office,High-rise,http://www.acotoronto.ca/,,Postmodern,,1986.0,1980.0,Building,0.0
2379,2504,University of Toronto St. George Campus; Enrolment Services,1986,,172 St. George Street The Annex Toronto,43.66815,-79.40048,http://www.acotoronto.ca/show_building.php?BuildingID=5308,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/172StGeorge.jpg,No heritage status,Office,Mid-rise,http://www.acotoronto.ca/,,Postmodern,,1986.0,1980.0,Building,0.0
2378,2503,Royal Canadian Yacht Club,1984,,139 St. George Street The Annex Toronto,43.66827,-79.39977,http://www.acotoronto.ca/show_building.php?BuildingID=5307,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/RoyalCdnYachtClub.jpg,No heritage status,Office,Low-rise,http://www.acotoronto.ca/,,Postmodern,,1984.0,1980.0,Building,0.0
2377,2502,HSBC Bank,1985,,1241 St. Clair Avenue West Earlscourt Toronto,43.67708,-79.4457,http://www.acotoronto.ca/show_building.php?BuildingID=7000,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/HSBCBank1.jpg,No heritage status,Commercial,Low-rise,http://www.acotoronto.ca/,This building won an Ontario Association of Architects Award of Excellence in 1988.,Postmodern,,1985.0,1980.0,Building,0.0
2376,2501,514 St. Clair Avenue East,unknown,,514 St. Clair Avenue East Moore Park Toronto,43.69241,-79.37525,http://www.acotoronto.ca/show_building.php?BuildingID=11631,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/3a0b2e2c.jpg,,Residential,Low-rise,http://www.acotoronto.ca/,"The house was built by Bay Street investment banker, James Connacher in the 1980s.  It was designed by Jim Strasman of Strasman Architects Inc.",Postmodern,,,,Building,0.0
2374,2499,Lester B. Pearson Elementary School,unknown,,7 Snowcrest Avenue Steeles North York,43.79232,-79.38742,http://www.acotoronto.ca/show_building.php?BuildingID=11225,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/3f5311f4.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,,,Building,0.0
2332,2457,163 Queen Street East,1989,,163 Queen Street East Downtown East Toronto,43.66862,-79.30642,http://www.acotoronto.ca/show_building.php?BuildingID=9233,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/163QueenStE1.jpg,No heritage status,Office,Mid-rise,http://www.acotoronto.ca/,,Postmodern,,1989.0,1980.0,Building,0.0
2373,2498,248 Simcoe Street,1991,,248 Simcoe Street Grange Park Toronto,43.65391,-79.38918,http://www.acotoronto.ca/show_building.php?BuildingID=1534,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/248SimcoeSt.jpg,No heritage status,Residential,High-rise,http://www.acotoronto.ca/,,Postmodern,,1991.0,1990.0,Building,0.0
2372,2497,Melody Village Junior School,1971,,520 Silverstone Drive Rexdale Etobicoke,43.73814,-79.59485,http://www.acotoronto.ca/show_building.php?BuildingID=11350,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/657c8900.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,1971.0,1970.0,Building,0.0
2371,2496,Silver Springs Public School,1975,,222 Silver Springs Boulevard Agincourt Scarborough,43.8044027,-79.3019248,http://www.acotoronto.ca/show_building.php?BuildingID=11428,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/76d48217.jpg,,Educational,School,http://www.acotoronto.ca/,A major addition was built in 1993.,Postmodern,,1975.0,1970.0,Building,0.0
2370,2495,90 Shuter Street,1984,,90 Shuter Street Downtown East Toronto,43.628719329834,-79.4128265380859,http://www.acotoronto.ca/show_building.php?BuildingID=4184,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/90ShuterSt.jpg,No heritage status,Residential,Mid-rise,http://www.acotoronto.ca/,,Postmodern,,1984.0,1980.0,Building,0.0
2369,2494,Shoreham Public Sports and Wellness Academy,1970,,31 Shoreham Drive Elia North York,43.7688,-79.51735,http://www.acotoronto.ca/show_building.php?BuildingID=11455,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/93b9ebaf.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,1970.0,1970.0,Building,0.0
2368,2493,St. Bede Catholic School,1993,,521 Sewells Road Rouge Scarborough,43.81798,-79.2065,http://www.acotoronto.ca/show_building.php?BuildingID=11816,http://www.acotoronto.ca/tobuilt_bk/php/buildingimagesmedum/239b2cb3.jpg,No heritage status,Educational,School,http://www.acotoronto.ca/,"St. Bede Catholic School was opened in September 1989 in the relocatable building at 36 Sewells Road. During this time, physical classes were conducted in the Malvern Community Centre and the public library was a popular place. As the enrollment grew, physical space became a problem.
Plans to construct the permanent building began in 1989 but government funding was delayed for a couple of years. The sod turning ceremony was held in November 1991 and staff and students moved into the new building at the end of January 1993.",Postmodern,,1993.0,1990.0,Building,0.0
2382,2507,Contact Alternative School,1977,,132 St. Patrick Street Chinatown Toronto,43.65377,-79.39035,http://www.acotoronto.ca/show_building.php?BuildingID=11156,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/e24a1695.jpg,,Educational,School,http://www.acotoronto.ca/,3rd floor.,Postmodern,,1977.0,1970.0,Building,0.0
2383,2508,One St. Thomas,2007,,1 St. Thomas Street Bloor-Yorkville Toronto,43.66822,-79.39016,http://www.acotoronto.ca/show_building.php?BuildingID=1616,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/1StThomas1.jpg,No heritage status,Residential,High-rise,http://www.acotoronto.ca/,,Postmodern,,2007.0,2000.0,Building,0.0
2384,2509,Stanley Public School,unknown,,75 Stanley Road  Downsview North York,43.74183,-79.51779,http://www.acotoronto.ca/show_building.php?BuildingID=11531,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/9d894e13.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,,,Building,0.0
2385,2510,The Residences at King's Gate,1991,,101 Subway Crescent Islington Etobicoke,43.63485,-79.53945,http://www.acotoronto.ca/show_building.php?BuildingID=1637,http://www.acotoronto.ca/tobuilt_bk/php/buildingimagesmedum/406b7bc9.jpg,No heritage status,Residential,High-rise,http://www.acotoronto.ca/,,Postmodern,,1991.0,1990.0,Building,0.0
2386,2511,288-296 Sumach Street,unknown,,288-296 Sumach Street Cabbagetown Toronto,43.66343,-79.36181,http://www.acotoronto.ca/show_building.php?BuildingID=5143,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/288-296SumachSt.jpg,Cabbagetown South Heritage Conservation District,Residential,Rowhouse,http://www.acotoronto.ca/,,Postmodern,,,,Building,0.0
2387,2512,Braeburn Junior School,1968,,15 Tandridge Crescent The Elms Etobicoke,43.72803,-79.54882,http://www.acotoronto.ca/show_building.php?BuildingID=11343,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/2fe898ac.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,1968.0,1960.0,Building,0.0
2388,2513,Burnhamthorpe Collegiate Institute,1956,,500 The East Mall  Islington Etobicoke,43.64962,-79.5618,http://www.acotoronto.ca/show_building.php?BuildingID=11472,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/96da4ae3.jpg,,Educational,School,http://www.acotoronto.ca/,"School officially opened on November 9, 1956",Postmodern,,1956.0,1950.0,Building,0.0
2389,2514,35 The Esplanade,1988,,35 The Esplanade St. Lawrence Toronto,43.64623,-79.37507,http://www.acotoronto.ca/show_building.php?BuildingID=1658,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/35TheEsplanade1.jpg,No heritage status,Residential,High-rise,http://www.acotoronto.ca/,,Postmodern,,1988.0,1980.0,Building,0.0
2390,2515,Yorktown on The Park,1987,,222 The Esplanade St. Lawrence Toronto,43.64974,-79.36561,http://www.acotoronto.ca/show_building.php?BuildingID=1654,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/YorktownonthePark.jpg,No heritage status,Residential,High-rise,http://www.acotoronto.ca/,,Postmodern,,1987.0,1980.0,Building,0.0
2391,2516,Market Lane Junior and Senior School,1992,,246 The Esplanade  St. Lawrence Toronto,43.64986,-79.36475,http://www.acotoronto.ca/show_building.php?BuildingID=11099,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/12584f6c.jpg,,Educational,School,http://www.acotoronto.ca/,"Market Lane School is part of a building complex that includes a community centre and apartments.

A small glass structure located in David Crombie Park, across the street from the school, was built as an entrance to the park for students. An underground tunnel was built to connect the school with the park, so that students were able to use the playground facilities without having to cross traffic. Shortly after being built, leaking and flooding forced the tunnel and the glass entrance to be closed, and it has remained as such ever since.",Postmodern,,1992.0,1990.0,Building,0.0
2392,2517,St. Dominic Savio Catholic School,1999,,50 Tideswell Blvd. Rouge Scarborough,43.7979572,-79.1559556,http://www.acotoronto.ca/show_building.php?BuildingID=11843,http://www.acotoronto.ca/tobuilt_bk/php/buildingimagesmedum/3c42e7e1.jpg,,Educational,School,http://www.acotoronto.ca/,"St. Dominic Savio Catholic School first opened in 1999. Located in Toronto, it has a student population of 288 students. It is an Early Leaning Program to Grade 8 school. 
St. Dominic Savio offers an After School program.",Postmodern,,1999.0,1990.0,Building,0.0
2393,2518,William Lyon Mackenzie Collegiate Institute ,1960,,20 Tillplain Road  Wilson Heights North York,43.75347,-79.46185,http://www.acotoronto.ca/show_building.php?BuildingID=11549,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/7e932e9c.jpg,,Educational,School,http://www.acotoronto.ca/,"1960: School opens in September for 800 students. Originally called Southview Collegiate Institute

1962: Named changed to William Lyon Mackenzie Collegiate Institute.

2007: Solar panels installed on the roof",Postmodern,,1960.0,1960.0,Building,0.0
2394,2519,Timberbank Junior Public School,unknown,,170 Timberbank Boulevard  Agincourt Scarborough,43.7920421,-79.3079058,http://www.acotoronto.ca/show_building.php?BuildingID=11579,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/15bd8b4c.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,,,Building,0.0
2395,2520,Bloordale Middle School,1960,,10 Toledo Road Centennial Etobicoke,43.63915,-79.57191,http://www.acotoronto.ca/show_building.php?BuildingID=11469,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/28bb2c85.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,1960.0,1960.0,Building,0.0
2396,2521,Topcliff Avenue Public School,1965,,65 Topcliff Avenue Elia North York,43.75569,-79.51062,http://www.acotoronto.ca/show_building.php?BuildingID=11456,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/3e141887.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,1965.0,1960.0,Building,0.0
2397,2522,Beverly Heights Middle School,1959,,26 Troutbrooke Drive Downsview North York,43.73303,-79.50473,http://www.acotoronto.ca/show_building.php?BuildingID=11533,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/1bec7a18.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,1959.0,1950.0,Building,0.0
2398,2523,Milne Valley Middle School,unknown,,100 Underhill Avenue Parkwoods North York,43.7474216,-79.3268711,http://www.acotoronto.ca/show_building.php?BuildingID=11392,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/3a88534f.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,,,Building,0.0
2367,2492,Wigwamen Housing,2005,,20 Sewells Road Malvern Scarborough,43.8076457,-79.2172259,http://www.acotoronto.ca/show_building.php?BuildingID=9998,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/Wigwamen1.jpg,No heritage status,Residential,Mid-rise,http://www.acotoronto.ca/,This project provides 92 units of rent-geared-to-income housing. Half the units are mandated for Aboriginal persons. The building was the subject of a Canada Mortgage and Housing Administration Housing Awards in 2006.,Postmodern,,2005.0,2000.0,Building,0.0
2366,2491,Seventh Street Junior School,unknown,,101 Seventh Street New Toronto Etobicoke,43.5986895,-79.5041995,http://www.acotoronto.ca/show_building.php?BuildingID=11209,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/b2f02a0e.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,,,Building,0.0
2365,2490,Elia Middle School,unknown,,215 Sentinel Road Elia North York,43.7538,-79.49842,http://www.acotoronto.ca/show_building.php?BuildingID=11449,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/a6c1fad1.jpg,,Educational,School,http://www.acotoronto.ca/,,Postmodern,,,,Building,0.0
2348,2473,Ukrainian Canadian Care Centre,1996,,60 Richview Road Westmount Etobicoke,43.68449,-79.51891,http://www.acotoronto.ca/show_building.php?BuildingID=8426,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/UkrainianCanadianCareCentre.jpg,No heritage status,Health care,Mid-rise,http://www.acotoronto.ca/,This building is a long term care health facility,Postmodern,,1996.0,1990.0,Building,0.0
2334,2459,The Woodfield,1990,,1480 Queen Street East Leslieville Toronto,43.66557,-79.32098,http://www.acotoronto.ca/show_building.php?BuildingID=7957,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/TheWoodfield1.jpg,No heritage status,Residential,Low-rise,http://www.acotoronto.ca/,,Postmodern,,1990.0,1990.0,Building,0.0
