,Address:,Architects:,Building completed,Demolished,Name of Building:,Notes:,Type of Building:
403,388 Bloor Street East,,c2001,,,,Condominiums
404,0 Bloor Street West,Core Architects (firm),,,Bloorwest Lofts,,Condominiums
405,0 Bloor Street West,Architects Alliance (firm),,,Modern on the Park,,Condominiums
406,68 Broadview Avenue,,,,,Industrial building to be converted into condomunium lofts.,Condominiums
407,395 Brunswick Avenue,,,,,,Condominiums
408,29 Camden Street,,,,Camden Lofts,,Condominiums
409,50 Camden Street,,,,Sylvia (the),,Condominiums
410,245 Carlaw Avenue,,,,Wrigley Lofts,,Condominiums
411,55 Centre Avenue,,,,Chestnut park (condos),,Condominiums
412,1 Cheddington Place,Wassermuhl Sol,c1996,,Cheddington (The),,Condominiums
413,1 Chestnut Park Road,,1915,,Terrace (The),,Condominiums
414,0 Church Street,"Baird George
Clewes Peter",,,St. James Condominiums (proposed),"SEE ALSO:  St. James Cathedral Parish House - the site of the proposed tower.   As of November 2001, the Cathedral management seems to have backed away from the proposal.",Condominiums
415,35 Church Street,"Markson Jerome
Reuber Paul",,,Market Square,"Market Square is a multi-use complex  (Condominiums, retail stores, movie theatres) and has a variety of street addresses:  74 Front Street East,  80 Front Street East and 35 Church Street.",Condominiums
416,200 Clinton Street,Goad James,,,ARC Project,,Condominiums
417,0 Colborne Street,Wallman Clewes Bergman Archts. (firm),,,Lofts (The),,Condominiums
418,0 College Street,Architects Alliance (firm),,,Ideal Condominiums,,Condominiums
419,0 College Street,Graziani + Corazza Architects Inc.,,,Residence of College Park,,Condominiums
420,456 College Street,Carson Woods Architects (firm),1988-1989,,465 College Condominium,"SEE ALSO:  College Street United Church at no, 452 College Street.",Condominiums
421,20 Collier Street,,,,,,Condominiums
422,88 Corporate Drive,,c1992,,Consilium,,Condominiums
423,200 Corporate Drive,Zeidler Eberhard,,,Hillsborough Court,,Condominiums
424,200 Corporate Drive,Kirkor Architects & Planners (firm),,,Ellipse,,Condominiums
425,40 Cottingham Street,Dubois & Associates (firm),,,Oaklands (The),See also: 40 Oaklands Avenue.,Condominiums
426,155 Dalhousie Street,"Corley Frank
Dunning Max
Northgrave Paul",1910,,Merchandise Building,"SEE ALSO: 108 MUTUAL STREET.  Formerly the Sears (Mail-order) Warehouse building. Completed in 1910.  Altered in 1916 by Max Dunning from the  Chicago architectural firm of Burke, Horwood & White.  Altered in 1930s by Frank Corley, a staff architect with Simpson's (Department Store).  Converted to condominiums in 1996 by Toronto architect Paul Northgrave.",Condominiums
427,0 Davenport Road,Gabor + Popper (firm),1992,,Castle Hill,"Castle Hill consists of three phases of condominiums + townhouses,  the majority lying between Walmer Road and Spadina Road at the corner of Davenport Road.",Condominiums
428,1 Deer Park Crescent,,,,One Deer Park Cescent,,Condominiums
429,0 Don Mills Road,Rafael & Bigauskas Architects,Dec. 1998,,Excellence,,Condominiums
430,123 Eglinton Avenue East,Jacobs Julian,,,,Proposed building will necessitate the demolition of the Union Carbide Buiding.,Condominiums
431,0 Ellis Park Road,,,,Grenadier Condominiums,proposed six-storey terraced building to be situated on the edge of High Park.,Condominiums
432,33 Empress Avenue,,,,Royal Pinnacle,"SEE ALSO:  Pinnacle at 8 Hillcrest Avenue, and Emoress walk at 5095 Yonge Street.",Condominiums
433,25 Esplanade,,1988,,Twenty Five The Essplanade,,Condominiums
434,50 Etta Wylie Road,Goodyear Lands Allen Ensslen Barrett,c1999,,Lakeshore Village Artists Coop,,Condominiums
435,82 First Avenue,,1897,,,Initially functioned as a chicken hatchery with an attached store.  Later on it was a butcher's shop.  Renovated in 1976 and now divided into 3 condos.,Condominiums
436,0 Front Street East,Architects Alliance (firm),,,Apex,,Condominiums
437,0 Front Street East,Page + Steele Inc. Archts & Planrs,c2000,,Matrix,,Condominiums
438,71 Front Street East,Moriyama & Teshima (firm),,,Front Street East Condos.,,Condominiums
439,77 Front Street East,E.R.A. Architects Inc. (firm),,,St. Lawrence Lofts,SEE: warehouses at no. 77-85 Front Street East.,Condominiums
440,500 Front Street West,,,,Portland Park Village,,Condominiums
441,0 Greenbelt Drive,,,,Camelot on the Ravine,,Condominiums
442,33 Harbour Square,Bregman + Hamann Architects,,,Harbour Square,,Condominiums
443,100 Hayden Street,,2000,,Bloor Walk Condominium,,Condominiums
444,30 Hazelton Avenue,Webb Zerafa Menkes Housden (firm),1985,,,,Condominiums
445,260 Heath Street West,Diamond A.J. Donald Schmitt,c1985,,Village Terrace,,Condominiums
446,8 Hillcrest Avenue (NY),,,,Pinnacle,SEE ALSO:  Royal Pinnacle at 33 Empress Avenue and Empress Walk at 5095 Yonge Street.,Condominiums
447,33 Jackes Avenue,Zeidler Eberhard,,,,,Condominiums
448,0 Jarvis Street,Architects Alliance (firm),,,Radio City,"Proposed condo complex (2 condo towers with townhouses along Mutual St.) on the former CBC site.  The National Ballet School will also share part of the site.  SEE ALSO: 372 Jarvis St., 354 Jarvis St. and 404 Jarvis St.",Condominiums
449,0 Jarvis Street,,,,Massey Estates,SEE ALSO:  nos. 515 & 519 Jarvis Street.,Condominiums
450,61 Jarvis Street,,1860,,,SEE:  63 Jarvis Street.,Condominiums
451,63 Jarvis Street,,1860,,King George Square,SEE ALSO:  Sovereign Bank Building at 172 King Street East (will also be part of the condominium project),Condominiums
452,0 King Street East,Clewes Peter,,,MoZo,Modern Living Zone,Condominiums
453,7 King Street East,,,,Metropole,,Condominiums
454,70 King Street East,Clarke Darling Downey (firm),,,,,Condominiums
455,230 King Street East,Du Toit Roger,,,Kings Court,SEE ALSO:  Canadian Imperial Bank of Commerce at no.226 King Street East.  Project also incorporates the 1842 Paul Bishop Houses.,Condominiums
456,393 King Street East,Sweeney Dermot J.,,,Derby (the),,Condominiums
457,0 King Street West,,,,Massey Square,SEE ALSO: Shank Street,Condominiums
458,1 King Street West,"Darling & Downey (firm)
Downey & Darling (firm)",,,One King Street West,Proposed condo / theatre /townhomes project will incorporate the historic Toronto Dominion Bank (formerly the Dominion Bank of Canada) and the facade of the Nag's Head Tavern.,Condominiums
459,766 King Street West,,,,Tecumseth Lofts,,Condominiums
460,781 King Street West,Pappageorge / Haymes (firm),,,Gotham Lofts,,Condominiums
461,800 King Street West,,,,Kings (The),,Condominiums
462,833 King Street West,,1998,,,Originally a perfume factory - now live / work lofts.,Condominiums
463,915 King Street West,,,,Massey-Harris Lofts,SEE:  Massey Harris Building,Condominiums
464,954 King Street West,,,,,,Condominiums
465,2045 Lake Shore Boulevard West,,,,Palace Pier,,Condominiums
466,2111 Lake Shore Boulevard West,Page & Steele (firm),c1999,,Newport Beach,,Condominiums
467,2289 Lake Shore Boulevard West,,,,Grand Harbour,,Condominiums
468,0 Lombard Street,Northgrave Paul,,,French Quarter,,Condominiums
469,36 Lombard Street,Wallman Clewes Bergman Archts. (firm),1993,,Indigo (The),Address listed as no.36-50 Lombard Street.,Condominiums
470,50 Lombard Street,,,,Indigo Lofts,,Condominiums
471,77 Lombard Street,,,,Absolute Lofts,,Condominiums
472,2 Lynnwood Avenue,,,,,,Condominiums
473,25 Maitland Street,,,,Cosmopolitan (the),,Condominiums
474,135 Maitland Street,,c1994,,Marquis (the),Former CBC office building.,Condominiums
475,200 Manitoba Street,Burka Architects Inc. (firm),c1999,,Mystic Pointe,,Condominiums
476,10 Market Street,,,,Ten Market Street,,Condominiums
477,77 McMurrich Street,,,,,,Condominiums
478,18 Merton Street,,,,Radius,,Condominiums
479,288 Mill Road,Kelton Architect (firm),c1975,,Masters Condominium,,Condominiums
480,70 Mill Street,Quadrangle Architects (firm),,,,,Condominiums
481,80 Mill Street,,,,,,Condominiums
482,20 Niagara Street,Wallman Clewes Bergman Archts. (firm),July 1998,,Twenty Niagara Street,,Condominiums
483,69 Old Mill Road,,c2001,,Kensington,,Condominiums
484,10 Old York Mills,,,,Ten Old York Mills,,Condominiums
485,8 Park Road,Page + Steele Inc. Archts & Planrs,,,Eight Park Road,,Condominiums
486,39 Parliament Street,,,,Parliament Square Co-operative,Part of the redevelopment of the Gooderham and Worts Distillery site.  Other condos that are part of the development include Phase One at 70 Mill St. and Phase Three at 80 Mill St.,Condominiums
487,1 Post Road,Page + Steele Inc. Archts & Planrs,,,One Post Road,,Condominiums
488,95 Queen Street East,,1875,,Bigley Building,Initially the carpentry shop of Richard Bigley.  Architect Eb Zeidler used to have his office there.  Being renovated into three large condominium suites.,Condominiums
489,2362 Queen Street East,,c2000,,WaterWorks Lofts,,Condominiums
490,905 Queen Street West,,,,Trinity Lofts,SEE ALSO: Farr House at the same address.,Condominiums
491,951 Queen Street West,Core Architects (firm),,,Queenwest Vintage Lofts,,Condominiums
492,993 Queen Street West,"Brown J. Francis
Quadrangle Architects (firm)",1907,,Candy Factory Lofts,Formerly the Ce Ce Candy manufacturing facility.  Now a loft conversion project.,Condominiums
493,0 Queens Quay West,,,,Aqua,,Condominiums
494,0 Queens Quay West,Wallman Clewes Bergman Archts. (firm),,,Atrium on Queen's Quay,,Condominiums
495,0 Queens Quay West,Kirkor Architects & Planners (firm),,,Riviera,,Condominiums
496,0 Queens Quay West,,,,World Trade Centre,Twin condo? Towers are 30+ storeys and 20+ stoerys and feature a full-scale city square with public sculpture.,Condominiums
497,228 Queens Quay West,Kirkor Architects & Planners (firm),,,Riviera,Twin 18-storey condominium towers.,Condominiums
498,401 Queens Quay West,Li Daniel,July 1987,,Harbour Terrace,,Condominiums
499,470 Queens Quay West,Erickson Arthur,,,King's Landing,Lower floors house the studios for the National Ballet of Canada.  See:  National Ballet of Canada Centre.,Condominiums
500,500 Queens Quay West,"Kuwabara Payne McKenna Blumberg (firm)
Stone Kohn McGuire Vogt (firm)",,,500 Queen's Quay West,"Initially the busilding was to be called the ""Pavilions"".  Construction halted in 1996, and design changes were made.",Condominiums
501,550 Queens Quay West,Page & Steele (firm),,,550 Queen's Quay West,,Condominiums
502,600 Queens Quay West,Rafael & Bigauskas Architects,,,Queen's Harbour,,Condominiums
503,0 Richmond Street East,,,,Richmond (the),,Condominiums
504,235 Richmond Street East,,,,S*P*A*C*E,,Condominiums
505,311 Richmond Street East,,,,Imperial Lofts,"One of the four buildings collectively known as Imperial Square.  They take up the entire block bounded by Adelaide, Richmond, Sherbourne and george Streets.",Condominiums
506,520 Richmond Street East,,,,Cityscape Terrace,,Condominiums
507,0 Richmond Street West,,,,Qwest,,Condominiums
508,0 Richmond Street West,Clewes Peter,2000,,Ideal Lofts,,Condominiums
509,0 Richmond Street West,Swadron Wayne,,,University Plaza,,Condominiums
510,388 Richmond Street West,Architects Alliance (firm),c2001,,District Lofts,,Condominiums
511,500 Richmond Street West,,,,Cityscape Terraces,,Condominiums
512,670 Richmond Street West,,,,,Formerly a knitting mill. Converted in 1998.,Condominiums
513,433 Roncesvalles Avenue,Darling & Downey (firm),1899,,High Park Lofts,,Condominiums
514,0 Rosedale Neighbourhood,Wengle Richard,,,Governor's Bridge Estates,,Condominiums
515,70 Rosehill Avenue,Rafael Burka Architects (firm),1983,,Seventy Rosehill,,Condominiums
516,1000 Roselawn Avenue,,,,Forest Hill Lofts,SEE ALSO:  Coates and Paton Factory (same address).,Condominiums
517,2 Roxborough Street East,"Burka Attila
Swadron Wayne",,,2 Roxborough,,Condominiums
518,264 Seaton Street,,c1930s,,Evening Telegram Lofts,,Condominiums
519,0 Sheldrake Avenue,Horwood & White (firm),1923,,St. George on Sheldrake,40-unit luxury condo building built from the former Eglington St. George's United Church.   SEE ALSO:  Eglinton United Church at #39 Sheldrake Boulevard.,Condominiums
520,0 Sherbourne Street,Du Toit Roger,,,,Condominium project to involve two pre-confederation townhouses built in 1848 as well as a neo-classical Imperial Bank building.,Condominiums
521,347 Sorauren Avenue,,1908,,,Formerly the Chapman Double Ball Bearing Co.,Condominiums
522,0 Spadina Avenue,Quadrangle Architects (firm),,,Morgan (the),,Condominiums
523,0 Spadina Avenue,Diamond A.J. Donald Schmitt,,,Hudson (the),,Condominiums
524,96 Spadina Avenue,Gordon & Helliwell (firm),1909,,Darling Building,Occupies no. 96-104 Spadina Ave.  Originally housed the Darling Dress Company's warehouse and factory.  One of the area's first loft-conversions.,Condominiums
525,48 St. Clair Avenue West,Page + Steele Inc. Archts & Planrs,late 1950s,,Park Avenue,The late 1950s building originally served as the head office for Duplate Canada.,Condominiums
526,61 St. Clair Avenue West,,,,Granite Place,Matching 18-storey buildings occucpy 61-63 St. Clair Avenue West.,Condominiums
527,11 St. Joseph Street,Young + Wright Architects (firm),,,Uptown Condominiums,SEE ALSO: Rawlinson Building at the same address,Condominiums
528,96 St. Patrick Street,,,,,,Condominiums
529,1 St. Thomas Street,Stern Robert,,,One St. Thomas Street,,Condominiums
530,22 St. Thomas Street,"Hyslop Kirk
Page + Steele Inc. Archts & Planrs
Wassermuhl Sol",,1997-Ist,Windsor Arms,Ist building completed in 1927 and demolished in 1997.  Replica with adjoining condominium tower constructed 1997-1998.,Condominiums
531,38 Stadium Road,Rafael & Bigauskas Architects,,,Yacht Club,,Condominiums
532,32 Stewart Street,Core Architects (firm),,,,,Condominiums
533,8 Sultan Street,,c1997,,,,Condominiums
534,90 Sumach Street,"II BY IV Design (firm)
Turner Peter",,,Brewery Lofts,"Connected via an archway and courtyard to the site of the Dominion Brewery.  The building was built as a warehouse in the 1950s, and was used by the CBC as a prop warehouse.  SEE ALSO:  Dominion Brewery at no. 406  Queen Street East.",Condominiums
535,20 University Avenue,Young + Wright Architects (firm),c1990,,Empire Plaza,,Condominiums
536,371 Wallace Avenue,,1929,,Wallace Station,Formerly the meredith Simmons Manufacturing Company which operated from the 1930s until the late 1980s.,Condominiums
537,90 Warren Road,Prii Uno,1970-71,,,,Condominiums
538,0 Waterfront Area,Page + Steele Inc. Archts & Planrs,,,Waterparkcity,"Planned 4 or 5 condominium tower complex to be built on the site of the former Molson brewery,  bewteen Fort York and Lake Ontario.",Condominiums
539,0 Waterfront Area,Kirkor Architects & Planners (firm),,,Waterclub Condominiums,,Condominiums
540,55 Wellesley Street East,"Kelton Lacka Architects (firm)
Lacka Kelton",,,Churchwell Centre,,Condominiums
541,253 Wellesley Street East,,,,McMaster Court,Originally the home of merchant William McMaster.  House was converted into 4 condo units with 6 additional townhouse units surrounding.,Condominiums
542,436 Wellington Street West,,,,Monarch Building,,Condominiums
543,1177 Yonge Street,,,,Ports (the),,Condominiums
544,1 York Quay,,,,One York Quay,,Condominiums
545,255 Front Street West,"Bregman + Hamann Architects
Crang & Boake (firm)",1984,,Metro Toronto Convention Centre,,Convention Centres
546,800 Alness Street,Moriyama & Teshima (firm),c2001,,Global Learning Centre,,Corporate Headquarters
547,707 Arrow Road,,c1980,,Allied PLastic Skylights,,Corporate Headquarters
548,311 Bay Street,,1949,1997,Woolworth Building,,Corporate Headquarters
549,10 Charles Street West,Taylor Hariri Pontarini (firm),1999,,McKinsey and Company,,Corporate Headquarters
550,5099 Creekbank Road,Page + Steele Inc. Archts & Planrs,,,Bell Mobility centre,,Corporate Headquarters
551,555 Dixon Road,Baird George,1957,,Ontario Trucking Assn. HQ,,Corporate Headquarters
552,600 Eglinton Avenue East,Parkin John B.,1965,,IBM Canada Ltd.Headquarters,,Corporate Headquarters
553,849 Eglinton Avenue East,Sankey Partnership (firm),,,Mercedes-Benz,,Corporate Headquarters
554,1940 Eglinton Avenue East,,,,Volkswagen Head Office,,Corporate Headquarters
555,40 Emblem Court,Kohn Shnier Architects (firm),1999,,Umbra Headquarters,,Corporate Headquarters
556,150 Ferrand Drive,Strasman Architects Inc. (firm),c2000,,Don Valley Corporate Centre,SEE ALSO: 250 Ferrand Drive.,Corporate Headquarters
557,250 Ferrand Drive,Strasman Architects Inc. (firm),c2000,,Don Valley Corporate Centre,SEE ALSO:  140 Ferrand Drive.,Corporate Headquarters
558,33 Kern Road,Colborne Architectural Group,,,Body Shop,,Corporate Headquarters
559,135 King Street East,,,,MMI Building,,Corporate Headquarters
560,112 King Street West,Marani Lawson & Morris (firm),1932,1976,North American Assurance Co.,,Corporate Headquarters
561,150 King Street West,"Parkin John B.
Webb Zerafa Menkes Housden (firm)",1983-1984,,Sun Life Centre,Part of the twin towers owned by the Sun Life Assurance Company.  The other tower is at no. 200 King Street West.,Corporate Headquarters
562,200 King Street West,"Parkin John B.
Webb Zerafa Menkes Housden (firm)",,,Sun Life Centre,"Part of the twin towers owned by the Sun Life assurance Company of Canada, which were constructed at the same time.  See the address of the other tower at 150 King St. West.   For information about the public sculpture by Sorel Etrog entitled  ""Sun Life"", see ""0"" King Street West, or search under ""Name of Building""",Corporate Headquarters
563,469 King Street West,"Brown J. Francis
Gouinlock George",1903,,Allied Canadian,Originally the Dominion Paper Box Co.,Corporate Headquarters
564,73 Laird Avenue,Bregman + Hamann Architects,c2000,,PSINet Data Centre,,Corporate Headquarters
565,1121 Leslie Street,"Crang & Boake (firm)
Quadrangle Architects (firm)",c1992,,Sony Music Canada,,Corporate Headquarters
566,100 Lesmill Road,Corneil Carmen,1992,,OPSEU Headquarters,,Corporate Headquarters
567,2585 Meadowpine Boulevard,Levine Lauzon Architects (firm),,,Hemosol Corporate HQ,,Corporate Headquarters
568,130 Merton Street,"Stark, Hicks & Spragge (firm)",,,Sunquest Building,,Corporate Headquarters
569,1 Mount Pleasant Road,Zeidler Roberts Partnership,,,Confederation Life Bldg no.2,"Confederation Life ceased in 1994, and now the buidling functions as the corporate headquarters of Rogers Cantel.  The building is attached via walkway and tunnel to the former Confederation Life Headquarters building (c1944) at no.333 Bloor Street East.",Corporate Headquarters
570,1 Mount Pleasant Road,,,,Rogers Cantel Building,SEE under building name:  Confederation Life Building #2 (same address).  Also under 333 Bloor Street East.,Corporate Headquarters
571,1400 O'Connor Drive,Jones & Kirkland Archts. (firm),1989,,S.A. Armstrong Ltd.,,Corporate Headquarters
572,49 Ontario Street,Cravit Ortved Architects (firm),c1991,,Supercorp Arts & Entertainmt.,,Corporate Headquarters
573,46 Overlea Boulevard,Mathers & Haldenby (firm),c1963,,Coca-Cola Beverages Ltd.,,Corporate Headquarters
574,3550 Pharmacy Avenue,"Moriyama Ajon
Moriyama & Teshima (firm)",1984,,Bank of Montreal Inst for Lrng,Bank of Montreal Institute for Learning,Corporate Headquarters
575,20 Salvation Square,"Parkin John B.
Parkin John C.",1956,1997-1998,Salvation Army Building,,Corporate Headquarters
576,50 St. Clair Avenue West,Allward & Gouinlock (firm),1950-51,,Duplate Canada Building,Now the head office for Rolex Canada.,Corporate Headquarters
577,0 Toronto Street,Langley Langley & Burke (firm),1878,yes. date?,Building & Loan Association,,Corporate Headquarters
578,74 University Avenue,Marani Lawson & Morris (firm),late 1920s,,Provincial Paper Ltd.,,Corporate Headquarters
579,80 University Avenue,Marani Lawson & Morris (firm),,,Abitibi Power & Paper Co. Ltd.,,Corporate Headquarters
580,330 University Avenue,"Shore Tilbe Irwin & Partners
Sproatt & Rolph (firm)",,,Canada Life Assurance Bldg.,"10-metre  weather spire was built in 1951 and requires 1,007 lightbulbs.  GREEN LIGHT at the tip of the beacon signals clear skies ahead.  RED LIGHT suggests appraoching clouds.  FLASHING RED warns of rain.  When the rows of white lights flash in an ascending pattern, the temperature is expected to rise.  A downward pattern predicts the opposite.  When the beacon disappears completely, it's foggy!",Corporate Headquarters
581,0 Vanderhoof Avenue,,,,Javex Company Limited,,Corporate Headquarters
582,10 Wellington Street East,Crang & Boake (firm),,,Royal Trust Company,,Corporate Headquarters
583,0 Alpha Avenue,,1887,,,"All of the homes on this street were built in 1887 by builder William Bromley, who was also a plasterer.",Cottages
584,13 Alpha Avenue,,,,,,Cottages
585,36 Amelia Street,,c1873,,,,Cottages
586,0 Bay Street,,1826,yes.date?,Robert Millen House,,Cottages
587,63 Bay Street,,c1827,,Andrew Mercer Cottage,,Cottages
588,2549 Dundas Street West,Turner J.,1901,,,Formerly no. 1315 Dundas St. - prior to renumbering.,Cottages
589,62 Glengowan Road,,c1923,,Margaret Marshall Saunders House,"Noted childrens' author's pen name of Marshall Saunders (1861-1947).  Her most famous book was ""Beautiful Joe"".",Cottages
590,0 Hart House Circle,Cumberland & Storm (firm),c1859-1859,e.1900s,Royal Magnetical Observatory - Cottages,One single and one double cottage served as the residences for the staff of the Royal Magnetical Observatory. SEE ALSO:  Director's House...,Cottages
591,20 Jerome Street,Turner J.,1905,,,,Cottages
592,1005 King Street West,,c1997,,Urbancorp Sales Centre,"""Presentation House"" in the form of a cottage.  Used as a sales centre for the townhouse complex known as King West Village.",Cottages
593,62 Laing Street,,1873,,Maple Cottage,"Maple tree in front of the cottage is said to have inspired Alexander Muir to write ""The Maple Leaf Forever"".",Cottages
594,756 Markham Street,,,,,,Cottages
595,218 Oak Street,,,,,,Cottages
596,222 Parliament Street,,1850s?,,,,Cottages
597,19 Paul Street,,,,,,Cottages
598,0 Ridelle Avenue,,1817,,,Log home.,Cottages
599,0 Scollard Street,,1877,,,,Cottages
600,139 Spruce Street,,,,,,Cottages
601,0 Toronto Island(s),Lennox Charles D.,,,,,Cottages
602,1 Ways Lane,,,,,,Cottages
603,0 Wellesley Cottages,,1886-1887,,Wellesley Cottages,Row of workers' cottages.,Cottages
604,57 Adelaide Street East,"Cumberland & Ridout (firm)
Cumberland & Storm (firm)
Lett / Smith Architects (firm)",1851-1853,,York County Courthouse,"Central portion of the courthouse is no.57 Adelaide Street West.  The  flanking west and east administrative wings occupied street nos. 55 and 65 repesctively.  The west wing was altered by E.J. Lennox c1890-95 for the Consumers Gas Company of Canada, who purchased it and connected it to their premises on Toronto Street.",Courthouses
605,132 Queen Street West,"Balowny William
Burke & Horwood (firm)
Cumberland & Storm (firm)
Ewart John
Hopkins Lawford & Nelson (firm)
Lane Henry
Page & Steele (firm)
Storm William
Taylor Hazell Architects (firm)
Tully Kivas",,,Osgoode Hall,"Address sometimes given as # 116-138 Queen Street W..  Built as the headquarters of the Law Society of Upper Canada and has had a lengthy building history.  The following is a summary taken from Patrica McHugh's TORONTO ARCHITECTURE :  A CITY GUIDE (1985):                                                                            EAST WING - John Ewart (1829-1832);  altered by Henry Bower Lane (1844).   Law school addition by William G. Storm  (1880, 1890).  Interior altered by Burke & Horwood (1899);  and altered again by Vaux and Bryan Chadwick (1925);  rear additions (1937, 1958).                          CENTRE BLOCK by Henry Bower Lane (1844);  rebuilt by Cumberland & Storm (1856-1861);  rear additions (1910, 1923).                                                                           WEST WING by Henry Bower Lane (1844); additions by Kivas Tully (1883);  interioir altered by Burke & Horwood (1897);  rear addition (1910);  renovated and rear addition by Page & Steele (1972-1973).                                    FENCE AND GATES by William G. Storm (1866)",Courthouses
606,131 Bloor Street West,Yabu Pushelberg (firm),c1995,,Japan Foundation,Second floor of the Colonnade.,Cultural Centres
607,6 Garamond Drive,Kuwabara Payne McKenna Blumberg (firm),,,Japanese Cdn. Cultural Centre,,Cultural Centres
608,5183 Sheppard Avenue East,"Chan Patrick
Kuwabara Payne McKenna Blumberg (firm)",,,Chinese Cultural Centre,"Other part of the is complex is Burrows Hall, Community Centre aand Library, located at no.1081 Progress Avenue",Cultural Centres
609,564 Annette Street,,,,Runnymede Dairy,,Dairies
610,7 Berryman Street,Hamilton Peter,,,Jesse Ketcham Child Care Ctr,This is the oldest childcare facility in Toronto (first established in 1954).  The buidling was originally constructed in 1912 as a World War I munitions factory.,Day Care Centres
611,46 Bloor Street West,"Kuwabara Payne McKenna Blumberg (firm)
Marani Lawson & Morris (firm)",,,Creeds,,Department Stores
612,581 Bloor Street West,,c1942,,Honest Ed's Ltd.,,Department Stores
613,0 Dufferin Street,Parkin John B.,c1964,,Robert Simpson Store,,Department Stores
614,14 Provost Drive,Shore Tilbe Henschel & Irwin (firm),,,Ikea Ltd.,,Department Stores
615,0 Richmond Street West,,1940s,1980s,Kresge's Department Store,,Department Stores
616,160 Yonge Street,"Bregman + Hamann Architects
Burke Edmund
Burke & Horwood (firm)
Burke Horwood & White (firm)
Chapman & Oxley (firm)
Parkin John B.",1894,,Simpson's Department Store,"Now called the Bay (Hudson's Bay Company). Occupies the entire block on Yonge Street between Queen Street West and Richmond Street West.  Street numbers no. 160-184 Yonge Street.    BUILDING HISTORY:  Built by Edmund Burke, 1894.  Rebuilt after fire by Burke & Horwood, 1895-96; addition by Burke, Horwood & White in 1907;  addition by Horwood & White in 1923;  restored and entrance remodelled in 1977.      Richmond St. W & Bay St. addition (store + office building) by Chapman & Oxley, 1928.      Simpson's Tower, 401 Bay Street (office building) by John B. Parkin Associates with Bregman + Hamann, 1968-1971.  (Patrica McHugh)",Department Stores
617,190 Yonge Street,,,,T. Eaton and Co.,"Occupied street nos. 190,192,194 and 196 Yonge Street.  SEE ALSO:  Eaton Centre at 220 Yonge Street.",Department Stores
618,220 Yonge Street,"Murphy Hilgers Architects (firm)
Queen's Quay Architects International",,,eatons Flagship Store,SEE ALSO:  Eaton Centre.,Department Stores
619,440 Yonge Street,Mathers & Haldenby (firm),1940s?,,Kresges Department Store,,Department Stores
620,444 Yonge Street,Ross & Macdonald (firm),,,Eaton's College Street,See also College Park as a later name for this building.,Department Stores
621,234 Bay Street,"Bregman + Hamann Architects
Kuwabara Payne McKenna Blumberg (firm)
Moorehouse George",,,Design Exchange,"Originally the Toronto Stock Exchange, b.1937, which moved to First Canadian Place in 1983.    Forms the base of the Ernst & Young Tower  (no.222 Bay Street), which is considered the fifth tower in the Toronto Dominion Centre.",Design Centres
622,168 Bedford Road,,,,Designer's Walk,,Design Centres
623,326 Davenport Road,,,,Imco Design Interiors Ltd.,,Design Centres
624,321 Bloor Street West,Architects Alliance (firm),,,Woodsworth College Residence,,Dormitories
625,89 Charles Street West,Sproatt & Rolph (firm),1909-1912,,Burwash Hall,,Dormitories
626,150 Charles Street West,Arthur Eric,1951,,Wymilwood Residence,,Dormitories
627,4 Devonshire Place,Shim Brigitte,2000,,Massey College - Master's Lodging,Shim-Sutclffe Architects designed the garden that is inserted between the residence and a brick wall.,Dormitories
628,60 Harbord Street,"Morphosis (firm)
Teeple Stephen",c2000,,Graduate House - University of Toronto,,Dormitories
629,4700 Keele Street,Moriyama & Teshima (firm),c1995,,Vari Hall,York University.,Dormitories
630,220 Lonsdale Road,Smith Eden,,1990,Peacock Buidling,,Dormitories
631,3359 Mississauga Road North,"Baird Sampson Neuert Architects Inc.
Fliess Gates McGowan Easton Archits",1999,,Erindale Student Residence,Part of the University of Toronto at Mississauga (formerly Erindale) campus.,Dormitories
632,0 Spadina Avenue,Saucier + Perrotte (firm),,,New College Residence,,Dormitories
633,85 St. George Street,Mathers & Haldenby (firm),early 1930s,,Whitney Hall,,Dormitories
634,0 Annette Street,,,,Annette Street Public School,,Elementary Schools
635,100 Bainbridge Avenue,Baird Sampson Neuert Architects Inc.,c2001,,Dublin Heights Public School,,Elementary Schools
636,0 Bathurst Street,"Carruthers Shaw & Partners Ltd.
Patkau Architects (firm)",1997,,Waterfront School,,Elementary Schools
637,24 Bedford Park Avenue,,1945,,Blessed Sacrament School,,Elementary Schools
638,303 Berkeley Street,Langley Langley & Burke (firm),1876,,Dufferin School,"Part of the original school, which was torn down in 1925, is affixed to the Parliament Street side of the current Lord Dufferin Public School.",Elementary Schools
639,958 Broadview Avenue,,1891,,Chester Public School,SEE:   Estonian House at the same address,Elementary Schools
640,0 Cherry Street,Sheard Joseph,1859,,Palace School,,Elementary Schools
641,35 Church Avenue (NY),Kuwabara Payne McKenna Blumberg (firm),c2001,,McKee Public School,,Elementary Schools
642,61 Davenport Road,,1857,1919,Jesse Ketchum School,Formerly the Yorkville School.  Later became the York County Model School (for training teachers),Elementary Schools
643,15 Earl Haig Avenue,Craig & Madill (firm),early 1930s,,Earl Haig Public School,,Elementary Schools
644,0 Eglinton Avenue East,,1913,1998,Scarborough Public School,,Elementary Schools
