,Description,Name,Notes,Street,URL
26,One of the Pioneers of Methodism in Ontario,"Reverend Samuel Rose, D.D.  1806 - 1890","Samuel Rose, one of the Pioneers of Methodism, was born September 13, 1806 at Marysburg, near Picton, Ontario. In 1831, he began his ministry and was stationed as a missionary to the Indians in the town of what is now known as Orillia. He never lost his love for the Native Indian, and devoted six years of his life to the superintendency of the Muncey Mission. When ordained, he was pastor of churches in St. Catherines, London, Brantford, Dundas and Toronto. He was Chairman of the district from 1856 to 1864.In 1865 he was elected Book Steward of the Methodist Church, and held the office for fourteen years. He had a good sense of business and served on many financial committees. His presence was also a constant inspiration to several local charities.He was known as a man of noble and generous impulses, a man who left behind him a record of pure character and devotion to God.During his career Dr. Rose held many responsible positions within the Methodist Church.In 1878 the degree of D.D. was conferred upon him by the Central Tennesse College of Nashville, Tennesse.Dr. Rose was one of the original trustees of the Metropolitan Church in Toronto, and at one time he was Treasurer of Victoria College in Toronto.27 Rose Avenue","27 Rose Avenue, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/samuel-rose/
27,Poet,Al Purdy  1918 - 2000,"Al Purdy has been called “the most Canadian poet”, as well as the best English-language Canadian poet of the century. He wrote 33 books of verse, and twice won Canada’s Governor General’s Literary Award, once in 1966 for his collection, The Cariboo Horses, and again in 1986 for his Collected Poems, 1956 – 1996. He also received the Order of Canada. These awards are among the highest honours an artist can receive in Canada.As a young man living on Sackville Street, he loved observing the residents of Cabbagetown, and spending time at the Riverdale Zoo. His voice was that of the common man and woman; he gave ordinary events an extraordinary view.He was not a poet-academic like so many of his peers. His first book was self-published. A high school dropout, he served an “undistinguished” term in the air force. His final work is a 652 page collection of poems entitled Beyond Remembering.Al Purdy died at his home in Victoria, B.C. from lung cancer at the age of 81.From Al Purdy’s book, Naked with Summer in Your Mouth:Ages
I am four years old
The most important person
Ever born on earth
– life bursts into flame
for me the night stars shine
for me it’s always June
days are bright discoveries
in my infinite bedroom world
the moon’s a silver spoonI am very young
only 16
I will never die
the years are made
of edible gold braid
the weeks are sun sun
and endless endless
the days stand still
I am 25 now
and feel the same
only more so
the world’s a lovely place
full of birds’ cries
and all my own
the birds like little jewels
belong to meI am 32
and know a lady here
on this lovely earth
each day she steps out of
the sunrise glow
emerging like a star
I walk my life with her
I am 40 now
and knowing less and less
each day I live
bewildered by the loss
of gifts existence gives
still foolish but finally
I’ve learned how
to curse what I can’t blessNow I grumble aloud
and scream my discontent
BUT GOD HOW LUCK I WAS
for all the friends I had
for the look in a woman’s eyes
for the death I refuse to die
and scream my lust and rage
to the God I don’t believe in
to god and all the gods
plural and singular
but god does not replyHear him talk:","435 Sackville Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/al-purdy/
28,Nobel Laureate – Physics 1981,Dr. Arthur Schawlow  1921 - 1999,"Another plaque is also affixed to the west side of the Winchester Public School that Schawlow once attended.Born in Mount Vernon, New York, Arthur, at the age of three years old, moved to Toronto with his family to the neighbourhood of Cabbagetown, later attending Winchester Public School. “Bud”, as he was called, was a nice young boy. He was not athletic, he read a lot, was smart in school, and skipped some grades. After some difficulty in a regular classroom, his mother took him for an IQ test. His score was extremely high. He was then transferred to the Model School at Church and Gould Streets (now Ryerson University) where Toronto’s “gifted” children went in the 1930s. Arthur also excelled in Boy Scouts, reaching the highest rank – King’s Scout.As a youngster, he read everything he could find on, things scientific, electrical, mechanical or astronomical. His intent was to study radio engineering, but at that point in the 1930’s, the economic depression was at its height. Very few families could afford to send their children to university, and there were no scholarships in engineering. His sister, Rosemary, scored excellent marks in Grade 13, but didn’t get a scholarship to the University of Toronto, so she voluntarily repeated the year in order to earn marks high enough to win the $125 tuition to Victoria College to study English literature. In 1937, at the age of sixteen, Arthur joined his sister there. His scholarship was for mathematics and physics, and it was physics that he pursued, earning a Ph.D from the University in 1949. While at University, Arthur was very involved in the Toronto amateur jazz scene and played clarinet with a group called the Delta Jazz Band. Listening to traditional jazz from his large record collection continued to stimulate and interest him throughout his life.While on a postdoctoral fellowship to Columbia University, he met Charles H. Townes, a leader in research on microwave spectroscopy, and their long collaboration began. In 1951, he married Aurelia, Charles Townes’ youngest sister.Over the ten years that followed, Arthur Schawlow worked as a physicist at Bell Telephone Laboratories, and with his brother-in-law in his spare time. They co-authored a book, published in 1955, entitled Microwave Spectroscopy, and continued to work together on the principles of a device – the Laser.Arthur Schawlow then went on to become a professor of physics at Stanford University, and was chairman of the department of physics from 1966 to 1970. In 1981 he won the Nobel Prize for Physics for his contribution to the development of laser spectroscopy. Dr. Schawlow retired from teaching and became Professor Emeritus in 1991.Honours and Awards:Hear him talk:","436 Sackville Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/arthur-schawlow/
29,Canada’s Pre-eminent World War II Artist,Jack Nichols  1921 - 2009,"Jack Nichols, from deckhand to painter, printmaker, draftsman, and educatorHe lived among us, unnoticed and uncelebrated. Some who knew him even called him mysterious. But you may have come across him on walks through the Cabbagetown neighbourhood without knowing it.But, in art circles, he was well known. His work appears in the Art Gallery of Ontario, the Montreal Museum of Fine Arts, the National Gallery of Canada, the Canadian War Museum and in many private collections.Born in Montreal, and as many artists, he was largely self- taught. In his early years in Montreal, he worked with Fredrick Varley and Louis Muhlstock.During the summer in the early 1940’s, he worked as a deckhand on cargo boats plying the Great Lakes.Word War II drew him to enlist in the Merchant Navy in 1943. Shortly thereafter, the National Gallery of Canada, realizing his talent, commissioned him to produce drawings of shipboard life.Jack Nichols’ big break came when the Royal Canadian Reserve appointed him “official war artist,” and this gave him the rank of Lieutenant, and put him to work on a number of Canadian warships.He witnessed the D-Day landing, the destruction of a German warship convoy and other horrific acts of war.Out of this came some of his best known works; Men on the H.M.C.S., Iroquois, Actions on His Majesty’s Canadian Ship, Drowning Sailor, Taking Survivors on Board, and many others. These artistic depictions of Canadian bravery in battle did not go unnoticed.In 1947 he was awarded a prestigious Guggenheim Fellowship, which, at last, gave him the means to formally study fine lithography, printmaking and to paint in the United States.In 1948 Jack Nichols went on to teach at the Vancouver School of Art. Shortly thereafter he went on to be a prizewinner at the Second International Exhibition of Drawing and Engraving in Lugano, Switzerland, and then on to display at the Venice Biennale. He has had exhibitions at the Ellen Gallery and the McCord Museum in Montreal, the MacKenzie Gallery in Saskatchewan, the Vancouver Art Gallery, the Canadian War Records Collection in Ottawa and in Canada’s most prestigious venue, the Canadian War Museum, etc.His friends talk of his intensity and his charm. They have described Jack Nichols as prodigiously talented, a painter who Goya himself might have envied.Jack Nichols never advertised his accomplishments. He just walked the streets of Cabbagetown unnoticed in his own mysterious way.John Fillion, a contemporary Canadian sculptor says of him, “he’s the finest draftsman in Canada.”The Ingram Gallery invites you to share your memories of Jack Nichols. We live on in the memories of others. As such, visit often, spend time with Nichols’ works and publications, and delight in the legacy of a great Canadian artist and neighbourhood friend.Cabbagetowner Gina Dineen (founder of the Cabbagetown Short Film & Video Festival) also did a short documentary on her friend Jack Nichols and his work.  It’s entitled Mystery & Light and can be seen on YouTube.Photos courtesy of the Ingram Gallery","395a Sackville Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/jack-nichols/
30,Czech-Canadian Literary Giant,Josef Škvorecký  1924 - 2012,"Josef Škvorecký was a very human hero who loved the freedom he had as a writer in Canada.Born in Nachod, Czechoslovakia, Mr. Škvorecký was educated at a local school and was intent on learning English because he was a great fan of the American singer/actor, Judy Garland.During the 1950’s he worked as an editor, translator and teacher.He attended Charles University in Prague and in 1952 completed a Phd in philosophy. While working for a government publishing company, he translated the works of Ernest Hemingway, William Faulkner and Raymond Chandler from English to Czech.At this time he wrote several novels including his first novel The Cowards and The End of the Nylon Age. They were banned after publication but have now been translated into 20 languages.Although he loved his homeland, after the Soviets invaded Czechoslovakia in 1968, Mr. Škvorecký and his actress/novelist wife Zdena Salivarova came to Toronto.He began working as a writer- in-residence at the University of Toronto, and then in 1971 he taught literature and film until 1990. He also wrote for television and radio, and wrote screenplays for film.Also in 1971 he and his wife founded a publishing company called 68 Publishers which published banned Czech and Slovak books. These books, written by such people as Vaclav Havel, Ludvik Vaculik and Milan Kundera, were smuggled into communist Eastern Europe. For providing this critical literary outlet, the president of post-communist Czechoslovakia, Vaclav Havel, later awarded the couple the Order of the White Lion in 1990 during their first visit back to Czechoslovakia.Josef Škvorecký was a brilliant storyteller who wrote more than 40 books. In Canada, he is considered to be a Canadian author despite the fact that he wrote mostly in Czech.“I am a Czech and I am a loyal citizen of Canada,” he told an interviewer in 2006.“Canada is the country where, for the first time in my adult life, I found freedom, including the freedom to be a Czech and at the same time a Canadian.”The miracle of jazz, the expatriate experience, repression and the horrors of totalitarianism are the themes of his fictitious novels.He once declared: “To me literature is forever blowing a horn, singing about youth when youth is irretrievably gone, singing about your homeland when, in the schizophrenia of the times, you find yourself in a land that lies over the ocean, a land – no matter how hospitable and friendly – where your heart is not, because you landed on those shores too late.” He and his wife visited their homeland often, but never wished to return permanently.In a most humble way he thanked Canada for his freedom. “There is beauty everywhere on earth, but there is more beauty in those places where one feels that sense of ease which comes from no longer having to put off one’s dreams.”He is buried in Cabbagetown’s Necropolis, just beside the chapel.Awards and Honours","487 Sackville Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/josef-skvorecky/
31,Prolific Early Toronto Designer and Architect,Eden  Smith  1858 - 1949,"Eden Smith was born in Birmingham, England. He was one of the youngest of a large Victorian family.He studied drawing and architecture throughout Europe. He and his wife Annie moved to Toronto in 1888 and he began his architectural practice in 1892. In 1890 they lived at 34 Salisbury Avenue.Much of his early work in Toronto was ecclesiastical and sponsored by the Anglican Church. He designed several churches, among them the church of St. Cyprian in Seaton village, St. John the Evangelist on Portland Street and the church of St. Thomas on Huron Street.After 1888, domestic architecture monopolized his prolific output. He designed 11 houses in Wychwood Park and others in Rosedale, The Annex and Forest Hill, many of which embodied the contemporary design principles found in the Arts and Crafts Movement, of which Smith was a leading exponent. His style was called English Cottage, which had steep-pitched roofs, tall chimneys, and bands of small-paned casement windows.In his 33 years of practice he designed over 2,500 houses in the city. He was also on-site and supervised the construction.Another outstanding achievement was the design of the co-op housing complex at the corner of Spruce and Sumach Streets in Cabbagetown. It was begun in 1913 and flourishes to this day as a model of successful co-operative housing.Mr. Smith was also one of the founding members of the Arts and Letters Club.Eden Smith died on October 10, 1949, and is buried in Woodlawn Cemetery in Guelph, Ontario.Hear him talk:Spruce Court Co-op (at Spruce and Sumach) designed by Eden Smith","34 Salisbury Avenue, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/eden-smith/
32,One of Canada’s Greatest Musical Families of the 20th Century,The Adaskins   -,"Inside the Lobby of the Wellesley Community CentreHarry Adaskin (1901-1994), the elder brother of Murray and John was born in Latvia in 1901, and was an infant when his parents emigrated to Canada and settled in Toronto. All three brothers studied with the first conductor of the Toronto Symphony Orchestra, Luigi von Kunits. Harry Adaskin’s teaching career began when he started instructing violin students privately in Toronto. He then taught at Upper Canada College from 1938-41, and at the TCM until 1946. He moved on to become the first head of the University of British Columbia’s new music department, retired as head in 1958, but continued to teach there until 1973.As a performer, Mr. Adaskin played with many different string quartets. In 1926 he married pianist Frances Marr, and the couple performed the premieres of several Canadian works. They toured Canada, the USA, Great Britain and Europe, and performed often for CBC radio.Harry Adaskin was appointed an Officer of the Order of Canada in 1974.Murray Adaskin (1906-2002), an orchestral and chamber musician, played with the TSO, 1923-36, and with the Royal York Hotel Trio, 1938-52. He married soprano Frances James who was a pioneer in the presentation of 20th-century music in Canada. In 1952 he was named head of music at the University of Saskatchewan in Saskatoon, and Frances taught voice until they both retired in 1973. He was also conductor of the Saskatoon Symphony Orchestra, 1957-60. They later moved to Victoria, where both continued to teach privately and at the University of Victoria, and the Victoria Conservatory of Music. Murray Adaskin was named an Officer of the Order of Canada in 1980.He received the Saskatchewan Arts Board’s Lifetime Award for Excellence in the Arts in 1991.John Adaskin (1908-1964) played cello 1926-35 in broadcasting orchestras and in the TSO 1926-38. As head of John Adaskin Productions, he produced the popular series “ Singing Stars of Tomorrow”, and “Opportunity Knocks”, and many other programs for CBC. He was married to Naomi Granatstein. The John Adaskin Project continues his work in promoting Canadian educational composition and preserving Canada’s concert music heritage, and the ongoing struggle of composers to earn a living from their work. The John Adaskin Memorial Award was established in 1979, and supports projects that promote and develop Canadian music in schools in Canada.The contributions of the Adaskin family have been exceptional; this is truly a family of musicians for all Canadians to celebrate.Harry Adaskin 1901 – 1994, Violinist, Teacher, BroadcasterMurray Adaskin 1906 – 2002, Composer, Teacher, Violinist, ConductorJohn Adaskin 1908 – 1964, Conductor, Radio Producer, Administrator, CellistHear him talk:University of Saskatchewan Archives, Murray Adaskin Fonds","495 Sherbourne Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/the-adaskin-family/
33,Heavyweight Boxer Champion of the Dominion of Canada and the British Empire,"Lawrence Samuel ""Larry"" Gains  1900 - 1983","He could have been a contender for World Champion?Lawrence Samuel “Larry” Gains was born on Sumach Street in the Cabbagetown area of Toronto. As a young twenty year old he boxed out of Toronto’s Praestamus Athletic Club, an organization for Black boxers. His amateur career was highly successful and in 1923 he went to England to pursue a professional career.He was considered an excellent heavyweight at a time when there were many good heavyweight boxers. It has been written that he took London by storm. Before long he was the Canadian Heavyweight Champion.The new fistic idol of Europe won every major title and knocked out heavyweight champion Max Schmeling. The historians now announce that he scored a two-round knockout over Max Schmeling. This would have made Larry Gains champion of the world by historic proxy.Due to the times, he was not allowed to fight for the British Championship and the World Champion. There was a bar on black boxers and they could only compete for the “Coloured Heavyweight Champion of the World”, which he won in 1928 and 1935.“For me, the world title was always the impossible dream, the unreachable star”, Gains said shortly before his death. “The politics of the day was against it. But I have no bitterness or regrets”.In 1974 Larry Gains was inducted into the Canadian Boxing Hall of Fame.Hear him talk:","404 Shuter St, Toronto, ON M5A 1X6, Canada",http://www.cabbagetownpeople.ca/person/larry-gains/
34,"Writer, Novelist, Broadcaster",Morley Callaghan  1903 - 1990,"Morley Callaghan was born into an Irish Catholic family, and lived the first five years of his life in Belshaw Place in Cabbagetown. He was educated at the University of Toronto, and attended Osgoode Hall in 1925, but never practiced law.He worked as a junior reporter at the Toronto Star, where he met Gordon Sinclair and the older Ernest Hemingway, who encouraged him to be a writer. His first novel, Strange Fugitive, was published in 1928. He was thought of as Canada’s first “urban novelist”.In the 1950s he focused on broadcasting, and became a public personality. At this time he was doing little writing. American critic, Edmond Wilson identified him as an “unjustly neglected writer”, and compared him to Checkov and Turgenev. This pronouncement in 1960 led to many reprints of Callaghan’s works in Europe and Asia, where his concern for “the little man” attracted popularity.One of the finest memoirs in Canadian literature was his book entitled That Summer in Paris (1963), reminiscences of his memorable stay there in 1929. In Paris, he matured as a writer, and developed friendships with some of the most famous authors of the century, including Hemingway and Joyce.Mr. Callaghan received the 1951 Governor General’s Award for his book, The Loved and the Lost. He was the recipient of numerous awards, prizes, honours and the Royal Bank Award. He was also a Companion of the Order of Canada.Hear him talk:","402 Shuter Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/morley-callaghan/
35,"Soldier, Princess Patricia’s Canadian Light Infantry, Killed in Afghanistan",Corporal Ainsworth Dyer  1977 - 2002,"Corporal Dyer, the son of the late Paul and Agatha Dyer, was born in Montréal, Quebec. He grew up in Regent Park, a downtown neighbourhood in Toronto. Raised by his strict Jamaican grandmother, he had a strong sense of right and wrong.In February 1996, Ainsworth Dyer enrolled with the Militias 48th Highlanders of Canada as an infantryman. In October 1997, he transferred to the Regular Force. When completing battle-school he became a member of the Edmonton-based battalion of the Princess Patricia’s Canadian Light Infantry. After joining the 5 Platoon in 1998, he quickly developed into a mature and responsible soldier. He served as a Rifleman and was deployed on Operation Palladium to Bosnia-Herzegovina in 2000.Always looking to challenge himself, Ainsworth trained for the “Mountain Man” competition, the blood and guts of the light infantry soldier. He also conquered the skies and became a paratrooper. His sense of adventure complemented his strong temperament.Corporal Dyer was one of four Canadians killed during a “friendly fire” incident in Afghanistan in 2002. Eight other soldiers from the Battalion were injured. This tragedy is referred to as The Tarnak Farm Incident. An American F-16 fighter jet piloted by an Air National Guard dropped a laser-guided bomb on the Canadians who were conducting a night firing exercise at Tarnak Farms. The deaths of these Canadian soldiers were Canada’s first during the war in Afghanistan and the first in a combat zone since the Korean War.Corporal Ainsworth Dyer was buried with full military honours in the Necropolis Cemetery in Cabbagetown. In a touching moment, his parents released a box of doves.
In February 2003, Corporal Dyer was commemorated on the Rakkasan Memorial Wall at Fort Campbell, Kentucky.The Ainsworth Dyer Bridge, a footbridge in Edmonton’s Rundle Park , has special meaning for both the Dyer and Von Sloten families. It was at this spot that Ainsworth proposed to his girlfriend Jocelyn Von Sloten before he left for Afghanistan. After Ainsworth was killed, Aart Von Sloten, Jocelyn’s father, began making wooden crosses for all the soldiers killed in Afghanistan. Each cross is inscribed with the name and rank of the 158 men and women who died while serving in the Canadian forces in Afghanistan. Over the years, a ceremony has been held on Remembrance Day and the names of those who have died are read aloud and a cross placed in the ground in their honour. The ceremony began with a small group but has grown to include many people who wish to pay their respects to these fallen soldiers.Ainsworth Dyer is described by his colleagues as a thoughtful leader, his own man, and one who had strength of heart that was unparalleled. He will be remembered as a brave soldier. In the words of retired Sgt. Oswald Reece, who trained Ainsworth as a young recruit, “he was a standout person; he was always ready to step up to the plate; he was the perfect soldier.”","402 Shuter Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/ainsworth-dyer/
36,"Founders of Grand & Toy, Toronto’s Oldest Office Supply Company",James Grand and Samuel Toy   -,"James Grand 1857-1921Samuel Toy 1859-1906Grand & Toy, the family-owned, all-Canadian office furniture and supplies company, has been in operation for over a century. When his partnership in a printing business ended, James Grand began a solo effort from one room in a King Street home.In 1882 Victorian Toronto was a young city bustling with enthusiasm in a very young Canada. It is believed that he was the first office supply salesman to go door-to-door selling stationery products. He carried his supplies in a wheelbarrow.By 1883 his company had grown, so his brother-in-law, Samuel Toy, joined him as a 1/3 partner. This was the beginning of the Grand & Toy name.Grand and Toy in front of their store.The first store was at the corner of Leader Lane and Colborne Street. It was at this time that James Grand lived at 26 Spruce Street and Samuel Toy lived at 28 Spruce Street.Grand and Toy represents one of the greatest business achievements in Canadian history. The company was run by the Grand family until 1990. Since then, it has had various owners (through mergers, etc.).Both Grand and Toy are buried within yards of each other in St. James Cemetery.Hear them talk:","26 Spruce Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/james-grand/
37,Toronto’s First Customs Officer,Charles B. MacKay   -,"Charles B. MacKay was an official sent by Queen Victoria in 1858 to set up and administer the customs offices in the burgeoning Port of Toronto. With the imminent threat of a Civil War in the United States, the relative political stability in Canada made Toronto a desirable destination for the shipping of a wide variety of goods.Charles B. MacKay thus became Toronto’s first Custom’s Officer. He was accompanied to Canada by his wife Isabella, and they later bought land adjacent to his home at 35 Spruce Street.It is not known whether he and his wife remained in Canada or returned to England.","35 Spruce Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/charles-b-mackay/
38,The Father of Obstetrics and Gynecology in Ontario and Dean of the Trinity Medical School,"Edward Mulberry Hodder, M.D.  1810 - 1878","Dr. Edward Mulberry Hodder was born December 30, 1810 in Sangate, Kent, England. He was educated on the Isle of Gurnsey and in France. He became a midshipman in the Royal Navy, but after a year, he left the Navy to study medicine in London, Paris and Edinburgh.He married Frances Tench in 1834, and they left for Canada in 1838. First, he practiced in Queenston, and then moved to Toronto in 1843.In 1850, he and James Bovell founded the Upper Canada School of Medicine and subsequently joined the Trinity Medical College.Dr. Hodder was president and chair of many medical associations and was one of the first to use carbolic acid as an antiseptic in surgery. He continued teaching until 1871.Together with a fellow sailing enthusiast, he founded the Royal Canadian Yacht Club.Dr Hodder was one of the early occupants of this Georgian style house on Spruce Street, just a few doors west of the medical school.Trinity Medical School in 1871. Nowadays, the facade unfortunately cannot be seen well from the street due to the high fence.University of Toronto Archives and Records Management Services – Image Database","41 Spruce Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/edward-mulberry-hodder/
39,Real Estate Agent and Philanthropist Who Started the Gentrification of Cabbagetown,Darrell Kent  1942 - 1989,"Darrell Kent was born and raised on a farm in Saskatchewan and came to live in Toronto in the late 1960’s. He enrolled in Ryerson’s hotel and restaurant program and then worked for the Canadian Restaurant Association.He eventually bought a 13–room house on Metcalfe Street, renovated it, then sold it, turning a lucrative profit. He then began in earnest to sell real estate in Cabbagetown, and is credited with making a great contribution to the revival of the area in the 1960s and 1970s. He built a dominant real estate firm and became a millionaire several times over. He had charisma and the ability to hire very competent people. He is considered the driving force behind the restoration of many of the area’s beautiful and unique Victorian houses.Darrell Kent helped to establish the Cabbagetown Cultural Festival and a tour of renovated homes in the area. He financially supported activities for local youth, inspiring and encouraging others to join in his philanthropy.Mr. Kent enjoyed collecting art deco pieces and antiques for his home. He travelled the world and enjoyed a full life.Hear him talk:","368 Sumach Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/darrell-kent/
40,Medical Pioneer and Champion of Early Learning,"Fraser Mustard, M.D.  1927 - 2011","Most doctors heal you when you are sick. Doctor Mustard could foretell your future.A most unconventional man!!Dr. Fraser Mustard, a Canadian physician and scientist, was born in Toronto, Ontario. He attended Whitney Public School and in 1953 he earned a medical degree from the University of Toronto. During his varsity football days he was known as “Moose”.In the 1950s and 60s his heart research focused on blood platelets, arterial disease and, believe it or not, the effects of Aspirin.In 1966 he criticized the Canadian government for their research funding practices. Many medical doctors graduating from Canadian universities were going to the United States due to the lack of research funding. As such, there was a need for many more doctors to graduate in order to maintain the standard of research and Canadian healthcare. It was at this time that he became a founding member of the McMaster University Faculty of Medicine in Hamilton, Ontario. This huge network, built at this time, linked researchers in social health, education, economics and high tech fields like robotics – a model that has been copied all over the world.Dr. Mustard’s interests shifted to early childhood education research where he influenced decision-makers all over the world. His early years’ studies report emphasized the promotion of early child development centres for young children and parents. He recommended that the government boost spending on early education and that programs should be available to all income levels in order to develop healthy, confident children and adults. His message was to convey the incredible importance of a child’s experiences in the first six years of life. Interventions in these early years can set-up a child for life. He said, “These years last a lifetime. The challenge for all societies is to close the gap between what we know about the determinants of early child development and what we do.”Fraser Mustard said, “That’s all education is. It’s just getting the architecture and the function of the brain set.”In 1982 he became the founding president of the Canadian Institute for Advanced Research (CIFAR) where he spent fourteen years doing research. In 1993 he was awarded the Royal Bank Outstanding Service to Canada award for setting up CIFAR, which is considered one of the best think-tanks and research centres in Canada.Dr. Fraser Mustard has left a legacy. About four months before his death, his followers came to his home to further discuss his works. While working in his living room, the Fraser Mustard Institute for Human Development was designed. The University of Toronto has officially launched the institute.“Fraser Mustard will be remembered as the great renaissance man of Canadian intellectual life. He was an absolute giant, who had a huge impact on his country, and a man of unflagging curiosity and great generosity of spirit”. (University of Toronto former President David Naylor).Dr. Mustard’s findings paved the way to create a province-wide full-day kindergarten program. He will always be remembered for his medical and educational achievements.AwardsA biography of his life written by Marian Packham, entitled J. Fraser Mustard: Connections and Careers, was published in 2010.Hear him talk:","422 Sumach Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/fraser-mustard/
41,"Artist, Activist, Teacher",Bill Stapleton  1916 - 2008,"“He moved to Cabbagetown to join the human race.”Most of us who have ever walked or driven up Sumach Street, and glanced into that second floor window, maybe glimpsing an easel or part of some “work in progress,” would never know the passion and conviction of that man who moved to Cabbagetown to join the human race. Why Cabbagetown? Probably because of its then (and now) unique and diverse environment.That man was Bill Stapleton, artist, social activist, humanist, free thinker, teacher, decorated citizen, and, for a time, a member of the Communist Party.Some compared his work with the likes of Degas and Toulouse-Lautrec. In their tradition, Bill would hang out at the Winchester Hotel, the long-gone Paramount Tavern and Trojan Coffee House, and sketch the colourful and sometimes rowdy clientele – working-class people having a good time. One might categorize his work as “slice of life” art.Carol Moore-Ede, Stapleton’s friend and curator said of his technique, “[his style] had a relaxed structure but his lines were direct and bold, drawn with rock steady hand and a sharp eye. He painted in startlingly vibrant colours and bold strokes, as forthright in his technique as he was in his social convictions.”Over the years, driven by his artistic and social justice convictions, he travelled to the Soviet Union, Nicaragua, Mexico and Spain to document the human condition.He was associated with ArtHeart, the community-based initiative to assist and promote art and young artists, and a member of “Veterans Against Nuclear Arms.” In an effort to mobilize artists for world disarmament, he joined the movement “Arts for Peace,” where he worked alongside Margaret Lawrence, Pierre Berton, Norman Jewison, Margaret Atwood, and Karen Kain.Collections of Mr. Stapleton’s work are in the National Archives of Canada, and in the Canadian War Museum. In 2006, he donated 1,500 canvases and sketches to the Cabbagetown Regent Park Community Museum in Toronto.In 2007, at the golden age of 91, Mr. Stapleton was presented with the Ontario Federation of Labour’s “Lifetime Cultural Achievement” award for his artistic documentation of labour struggles both in Canada and around the world.So said Bill Stapleton, the man who moved to Cabbagetown to join the human race.","424 Sumach Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/bill-stapleton/
42,Historical Painter and Illustrator,Charles William Jefferys  1869 - 1951,"Called the “Owl House” because of the terracotta owl detail on the side of the house.Charles William Jefferys was a well-known painter, illustrator, muralist, writer and teacher. He was born in Rochester, England and arrived in Toronto, Ontario with his family around 1880. His formal training as an artist began in 1884 when he attended evening classes at the Ontario School of Art. After attending school, he apprenticed with the Toronto Lithography Company for five years.Beginning work as a newspaper illustrator and artist, he was with the Toronto Globe from 1889 to 1892 and then served as an illustrator for the New York Herald from 1893-1901. Returning to Toronto, he became a magazine and book illustrator.During World War I he was given an assignment overseas, but was unable to undertake the job. Subsequently, he was commissioned by the Canadian War Records department to paint soldiers who were training at Camp Petawawa and Niagara, Ontario.C.W. Jefferys was also an accomplished painter in the English manner. He produced compelling oils and wonderful watercolours. He especially loved the Saskatchewan prairies and painted at Last Mountain Lake and the Battlefords. His work was widely exhibited and collected. He inspired many artists and was instrumental in forming Canada’s most famous group of landscape painters, the Group of Seven.From 1912 to 1939 he taught painting and drawing in the Department of Architecture at the University of Toronto. He was also a lecturer and part-time instructor at the Ontario College of Art. After his retirement he continued to produce illustrations and murals.Mr. Jefferys and Ivor Lewis were among the group of artists who founded the Graphic Arts Club (later named the Canadian Society of Graphic Arts), which by the 1940’s became the primary artists’ group in Canada.Remembered primarily for his bold illustrations of Canadian history and as a well-known painter of military genre, he is one of the most frequently reproduced of Canadian illustrators, and is best known for his visual reconstructions of Canadian history.C.W. Jefferys was a strong advocate of artistic nationalism, an artist who explored both the nature of our landscape and the historical and pre-historical background that shaped Canadian society. If a picture is worth a thousand words, then his sketches and paintings of bygone events will continue to bring Canadian history to life for many generations.C.W. Jefferys Collegiate Institute, a public high school in Toronto is named in his honour.Laura Secord on her Journey to Warn the British, [ca. 1921] by C. W. Jefferys Government of Ontario Art Collection, 621223","390 Wellesley Street East, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/charles-william-jefferys/
43,"Performer, Children’s Entertainer, Author, and Founder of the Forsythia Festival",Tony  Brady  1935 - 1991,"Tony Brady was born in Drummondville, Quebec. He was a Torontonian by adoption. He was a writer,actor, magician, hairdresser, animal breeder and traveller, as well as a clown. As most clowns are male, and he wanted to be different, he created Briget The Clown.He loved animals and at one time had 30 parrots and macaws in his house.It has been said that Tony Brady had Canada’s first Bengal cat and that actress Elizabeth Taylor visited his home to see the famous animal.The children’s stories he wrote were very popular, appearing in books and in the Toronto Star newspaper.After being so impressed with the Cherry Blossom Festival in Washington D.C., he founded the Forsythia Festival. It was his pride and joy and it has become a popular annual event in Cabbagetown. He had a tremendous sense of community spirit and loved entertaining young people.Tony Brady died in Toronto General Hospital at the age of 56 following a heart attack.Hear him talk:Bridget the Clown","443 Wellesley Street East, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/tony-brady/
